Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1616667534956,25/03/2021 10:18:54,1616667755600,0,25/03/2021 10:22:35,47307,12,task-jd1t,,11303881,5dba043b732f4c0607595ec5,3447812,,complete,,605c62b561c7c6fc27ca1906,computer,Desktop or Laptop,Linux x86_64,Firefox 78.0,1920x896,1920x896,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667530659,25/03/2021 10:18:50,1616667531345,11,25/03/2021 21:18:51,47307,12,task-jd1t,,11303875,5f24227c55217f000a870161,3447817,,complete,,605c62c6b2c475b662b0c4f4,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x654,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667486398,25/03/2021 10:18:06,1616667485564,0,25/03/2021 10:18:05,47307,12,task-jd1t,,11303835,5fbd022c5308d50008f79827,3447841,,complete,,605c62bb1879967b63e6c6ff,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x694,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667471309,25/03/2021 10:17:51,1616667470443,2,25/03/2021 12:17:50,47307,12,task-jd1t,,11303822,6016bbe3a28c6014fd3236b8,3447827,,complete,,605c615f3004e4ecbf73719b,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x693,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667376158,25/03/2021 10:16:16,1616667375867,2,25/03/2021 12:16:15,47307,12,task-jd1t,,11303720,60460d45e253b801e6d02c54,3447784,,complete,,605c61c5ed6b11900f271467,computer,Desktop or Laptop,Mac OS 10.15,Firefox 83.0,1440x900,1440x826,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667358343,25/03/2021 10:15:58,1616667360779,2,25/03/2021 12:16:00,47307,12,task-jd1t,,11303698,5fbfc10b6e4c4c33c87c186b,3447766,,complete,,605c5facda4ddfd633a4ac1b,computer,Desktop or Laptop,Windows 8.1,Firefox 87.0,1366x768,1366x654,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667344628,25/03/2021 10:15:44,1616667376885,0,25/03/2021 10:16:16,47307,12,task-jd1t,,11303692,5e72575be8e23118f1a6359b,3447807,,complete,,605c61fa8dc070611a7961ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1280x800,1280x636,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667334792,25/03/2021 10:15:34,1616667333033,0,25/03/2021 10:15:33,47307,12,task-jd1t,,11303671,5f2b30b6a340af558e1f1d32,3447802,,complete,,605c6218fc835d7b2ae34c05,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,720x688,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667283312,25/03/2021 10:14:43,1616667283511,0,25/03/2021 10:14:43,47307,12,task-jd1t,,11303638,5e67bcf03f8a34063871ba27,3447791,,complete,,605c60e4542f0944a90a329a,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x626,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667255276,25/03/2021 10:14:15,1616667254224,10.5,25/03/2021 20:44:14,47307,12,task-jd1t,,11303615,5f485e24b5efe81f67b89f81,3447793,,complete,,605c6180c2b84909c10116f1,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x864,1536x750,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
